pub,HEDG,ETH
0xf70af0e370094d4fa912e9f75e32f1f33b70fe56,560455460.4558593,0.6431890019973264
0x7D5Bf9B9CC5E403658c14b43414d437B70eC5A6f,0.0,0.0
0xBf84b466F78FF5C23c621C3F61906aFC7c1aFE1c,0.0,0.0
0xfd71f1142E2020F434161fD06F1B93307Ac9da74,0.0,0.0
0xBc1EC88bDf602ce490571bd7f89f3aF8CA04c943,0.0,0.0
0x6AF301b40f932a1bCc4CAC4811FF715A250a0C73,0.0,0.0
0x4c0c4304b45d63904668d3914f785a36a9965eb7,0.0,10.728124086553068
0x3bd10fb3Cc28C9da48Fdc86F7B715F52A892e127,200.0,0.0
0x36a144aa3c59e80100B6A3ecb28D096E616b7B18,21000.0,0.05
0x003bA7CD3004D53dEf2C01F9dFF01B5879dFCA74,525000.0,0.05
0xe61202A1c31ab12618948E8C33806Efd0CCD1CEf,400000.0,0.05
0x332b0F36A0a049A56BefBa7F7016ee4575CE8001,12505354.109315189,0.2646941172170612
0x87aa5699825892F2220984456D0C63cdfcbef2A5,1497051.35190884,0.10107854870799522
0x6BE7794262A3AAB3F68b0Ede098B420a7Fd05D87,144289.980557201,0.00917754527558052
0xF458486607d5394b136c28C8067bf8C7aE4824b2,98590.89773275185,0.010000298134528315
0x0b7D82BDfdf621990e19e0360B6948D11c3dC03B,150000.0,0.021216407355021217
0x528Bea7b0a2FA031A39304CFE4Be8416b0a7b4C7,150000.0,0.021216407355021217
0x3b57784D1f1BED7eAe4315EB78BC28F7Cd371644,840000.0,0.05
0xF04a5536A818739708932FfD0fb96a10606cE5B0,4933021.929329446,0.09746317761335817
0x443a1c909A093FB61eB0c7AD647B0bd6b10f92B5,262500.0,0.189139
